"sp","breeding_site","year","nest","nn","first_egg_laid","incubation_start_datetime","nest_found","end_datetime","end_state","lat","lon","site"
"AMGP","barr",2010,"AMGP230",1,"2010-06-23 05:00:00","2010-06-24 05:00:00","2010-06-28 12:00:00","2010-07-23 05:00:00","h",71.291,-156.649,"known"
"AMGP","barr",2010,"AMGP400",1,"2010-06-08 05:00:00","2010-06-11 05:00:00","2010-06-15 12:00:00","2010-07-10 05:00:00","h",71.29,-156.6463,"known"
"AMGP","barr",2012,"A1001",0,"2012-06-08 19:09:00","2012-06-11 19:09:00","2012-06-15 00:00:00","2012-07-11 06:39:00","h",71.316,-156.656,"known"
"AMGP","barr",2012,"A302",0,"2012-06-18 21:05:00","2012-06-21 21:05:00","2012-06-22 13:20:00","2012-07-03 04:05:00","p",71.3155,-156.644,"known"
"AMGP","barr",2012,"A305",0,"2012-06-19 04:40:00","2012-06-22 04:40:00","2012-06-25 12:04:00","2012-07-15 15:00:00","d",71.3258,-156.635,"known"
"AMGP","barr",2012,"A306",0,"2012-06-15 06:09:00","2012-06-18 06:09:00","2012-06-28 14:23:00","2012-07-17 06:14:00","h",71.3209,-156.604,"known"
"AMGP","barr",2012,"A402",0,"2012-06-19 19:51:00","2012-06-22 19:51:00","2012-06-24 19:30:00","2012-07-13 09:00:00","p",71.3239,-156.625,"known"
"AMGP","barr",2012,"A501",0,"2012-06-08 05:00:00","2012-06-11 05:00:00","2012-06-18 17:00:00","2012-07-09 07:38:00","fl",71.3119,-156.651,"known"
"AMGP","barr",2012,"A701",0,"2012-06-07 05:00:00","2012-06-10 05:00:00","2012-06-10 19:45:00","2012-07-09 09:30:00","fl",71.3174,-156.665,"known"
"AMGP","barr",2012,"A801",0,"2012-06-19 05:00:00","2012-06-22 05:00:00","2012-06-19 13:42:00","2012-07-18 05:16:00","h",71.3216,-156.619,"known"
"AMGP","barr",2013,"A502",0,"2013-06-13 22:46:00","2013-06-16 22:46:00","2013-06-19 12:10:00","2013-07-12 06:50:00","t",71.3231,-156.647,"known"
"AMGP","barr",2013,"A503",0,"2013-06-18 22:26:00","2013-06-21 22:26:00","2013-06-24 11:50:00","2013-07-12 08:03:00","t",71.3205,-156.669,"known"
"AMGP","barr",2013,"A504",0,"2013-06-20 11:07:00","2013-06-23 11:07:00","2013-06-27 20:30:00","2013-07-12 07:35:00","t",71.3157,-156.647,"known"
"AMGP","barr",2013,"A601",0,"2013-06-12 06:19:00","2013-06-15 06:19:00","2013-06-16 11:25:00","2013-07-12 06:20:00","h",71.319,-156.663,"known"
"AMGP","barr",2013,"A602",0,"2013-06-16 05:00:00","2013-06-20 05:00:00","2013-06-16 14:16:00","2013-07-12 08:56:00","t",71.3174,-156.653,"known"
"AMGP","barr",2013,"A701",0,"2013-06-16 01:01:00","2013-06-19 01:01:00","2013-06-19 10:30:00","2013-07-11 19:00:00","t",71.3218,-156.613,"known"
"AMGP","bylo",2012,"AMGPJL09",1,"2012-06-14 05:00:00","2012-06-17 05:00:00","2012-07-04 12:00:00","","u",72.9062,-79.9984,"known"
"AMGP","bylo",2012,"AMGPMT10",1,"2012-06-20 05:00:00","2012-06-24 05:00:00","2012-07-11 12:00:00","2012-07-22 05:00:00","p",72.9113,-79.849,"known"
"AMGP","bylo",2012,"AMGPPR08",1,"2012-06-14 05:00:00","2012-06-17 05:00:00","2012-07-04 12:00:00","","u",72.8904,-79.969,"known"
"AMGP","bylo",2013,"AMGPAB01",1,"2013-06-14 05:00:00","2013-06-17 05:00:00","2013-06-14 12:00:00","","u",73.1553,-79.9256,"known"
"AMGP","bylo",2013,"AMGPER01",1,"2013-06-23 05:00:00","2013-06-26 05:00:00","2013-07-04 12:00:00","2013-07-09 23:30:00","p",72.9106,-79.8628,"known"
