"year","study_site","type","sp","bird_ID","tag","method","tag_mount","status","datetime_caught","nest","lat","lon","sex","sexing","total_head","culmen","wing","tarsus","mass","comments"
2006,"alwa","breeding","KEPL","2503",NA,"video","none",NA,"2006-06-11 06:06:00","2006-A-20",24.2611,54.6125,"m","plumage",NA,NA,104.5,28.55,34,NA
2005,"alwa","breeding","KEPL","2520",NA,"video","none",NA,"2005-06-11 20:54:00","2005-A-23",24.262,54.6114,"m","plumage",NA,NA,108.5,29.05,32.7,NA
2005,"alwa","breeding","KEPL","2524",NA,"video","none",NA,"2005-04-07 10:25:00","2005-D-20",24.2618,54.6091,"f","plumage",NA,NA,107,28.3,37,"captured at nest 2005/A/12"
2005,"alwa","breeding","KEPL","2532",NA,"video","none",NA,"2005-04-09 08:09:00","2005-C-11",24.2503,54.6038,"f","plumage",NA,NA,109,26.6,36,NA
2005,"alwa","breeding","KEPL","2533",NA,"video","none",NA,"2005-04-10 06:40:00","2005-C-11",24.2503,54.6038,"m","plumage",NA,NA,110,28.75,37.3,NA
2005,"alwa","breeding","KEPL","2562",NA,"video","none",NA,"2005-04-20 06:44:00","2005-C-19",24.26,54.5876,"f","plumage",NA,NA,110.5,28.25,42.6,NA
2005,"alwa","breeding","KEPL","2563",NA,"video","none",NA,"2005-04-20 10:20:00","2005-C-19",24.26,54.5876,"m","plumage",NA,NA,106,28.9,41.2,NA
2005,"alwa","breeding","KEPL","2566",NA,"video","none",NA,"2005-04-25 06:37:00","2005-A-103",24.2621,54.6099,"f","plumage",NA,NA,112,28.05,34.4,NA
2005,"alwa","breeding","KEPL","2570",NA,"video","none",NA,"2005-04-25 18:00:00","2005-A-103",24.2621,54.6099,"m","plumage",NA,NA,114.5,29.8,40.4,NA
2005,"alwa","breeding","KEPL","2576",NA,"video","none",NA,"2005-04-30 07:32:00","2005-D-115",24.2518,54.6144,"f","plumage",NA,NA,113,29.3,39.7,NA
2005,"alwa","breeding","KEPL","2578",NA,"video","none",NA,"2005-05-01 10:44:00","2005-D-115",24.2518,54.6144,"m","plumage",NA,NA,113,29.5,40.4,NA
2005,"alwa","breeding","KEPL","2579",NA,"video","none",NA,"2005-05-04 06:19:00","2005-D-5",24.2602,54.5993,"f","plumage",NA,NA,113,28.8,38.2,NA
2005,"alwa","breeding","KEPL","2583",NA,"video","none",NA,"2005-05-07 17:35:00","2005-D-5",24.2602,54.5993,"m","plumage",NA,NA,109,27.7,38.4,NA
2005,"alwa","breeding","KEPL","2584",NA,"video","none",NA,"2005-05-10 07:38:00","2005-A-16",24.2613,54.6135,"f","plumage",NA,NA,109,29.1,39.5,NA
2005,"alwa","breeding","KEPL","2587",NA,"video","none",NA,"2005-05-11 20:16:00","2005-A-16",24.2613,54.6135,"m","plumage",NA,NA,108,30.8,36.7,NA
